"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR"
1,33,1,"Mgr.","MARTIN","KUPKA","","Mgr. MARTIN KUPKA",44,FALSE,TRUE,"starosta, poslanec PČR",538442,"Líbeznice",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",13434,16.24,"A",1,0
1,7,2,"Mgr.","VÍT","RAKUŠAN","","Mgr. VÍT RAKUŠAN",42,FALSE,TRUE,"poslanec, středoškolský učitel",533165,"Kolín",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",12243,13.17,"A",1,0
10,12,1,"Mgr.","JAN","GROLICH","","Mgr. JAN GROLICH",36,FALSE,TRUE,"starosta obce",584096,"Velatice",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",12172,21.57,"A",1,0
6,20,1,"","MARTIN","PŮTA","","MARTIN PŮTA",49,FALSE,FALSE,"hejtman LB kraje, starosta Hrádku n. N. 2002-2012",564095,"Hrádek nad Nisou",703,703,"STAROSTOVÉ PRO LIBERECKÝ KRAJ","STAROSTOVÉ PRO LIBERECKÝ KRAJ","SLK","703",11363,21.22,"A",1,0
13,50,1,"prof. Ing.","IVO","VONDRÁK","CSc.","prof. Ing. IVO VONDRÁK CSc.",61,FALSE,TRUE,"hejtman",510882,"Velká Polom",768,768,"ANO 2011","ANO 2011","ANO","768",9927,10.41,"A",1,0
12,12,1,"","JIŘÍ","ČUNEK","","JIŘÍ ČUNEK",61,FALSE,FALSE,"hejtman Zlínského kraje, senátor",541630,"Vsetín",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",9083,25.38,"A",1,0
1,7,1,"Mgr.","PETRA","PECKOVÁ","","Mgr. PETRA PECKOVÁ",44,TRUE,TRUE,"starostka, žurnalistka, novinářka",538493,"Mnichovice",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",8473,9.12,"A",2,0
11,64,1,"Ing.","MARIAN","JUREČKA","","Ing. MARIAN JUREČKA",39,FALSE,TRUE,"poslanec PČR, zemědělec, krajský zastupitel",517607,"Rokytnice",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",8129,23.54,"A",1,0
8,30,1,"JUDr.","MARTIN","NETOLICKÝ","Ph.D.","JUDr. MARTIN NETOLICKÝ Ph.D.",38,FALSE,TRUE,"hejtman Pardubického kraje, vysokoškolský učitel",580031,"Česká Třebová",7,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",6777,27.62,"A",1,0
11,50,1,"","LADISLAV","OKLEŠTĚK","","LADISLAV OKLEŠTĚK",59,FALSE,FALSE,"hejtman Olomouckého kraje",589250,"Prostějov",768,768,"ANO 2011","ANO 2011","ANO","768",6759,13.35,"A",1,0
2,33,1,"MUDr.","MARTIN","KUBA","","MUDr. MARTIN KUBA",47,FALSE,TRUE,"podnikatel, zakladatel NF Jihočeské naděje",544256,"České Budějovice",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",6122,17.56,"A",1,0
7,73,1,"brig. gen. v. v. Mgr.","MARTIN","ČERVÍČEK","","brig. gen. v. v. Mgr. MARTIN ČERVÍČEK",48,FALSE,TRUE,"senátor, 1. náměstek hejtmana KHK",574643,"Vysokov",53,1454,"OBČANSKÁ DEMOKRATICKÁ STRANA + STAROSTOVÉ A NEZÁVISLÍ A VÝCHODOČEŠI","KOALICE ODS, STAN, VČ","ODS+STAN+VČ","053,166,770",5020,12.04,"A",1,0
10,50,1,"JUDr.","BOHUMIL","ŠIMEK","","JUDr. BOHUMIL ŠIMEK",61,FALSE,TRUE,"hejtman Jihomoravského kraje",3,"Brno",768,768,"ANO 2011","ANO 2011","ANO","768",4585,6.39,"A",1,0
1,50,1,"Ing.","JAROSLAVA","POKORNÁ JERMANOVÁ","","Ing. JAROSLAVA POKORNÁ JERMANOVÁ",50,TRUE,TRUE,"hejtmanka Středočeského kraje",529303,"Benešov",768,768,"ANO 2011","ANO 2011","ANO","768",4553,5.86,"A",1,0
10,12,21,"Ing.","STANISLAV","JURÁNEK","","Ing. STANISLAV JURÁNEK",64,FALSE,TRUE,"poslanec",3,"Brno",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",4413,7.82,"A",2,0
3,58,1,"Ing.","JOSEF","BERNARD","","Ing. JOSEF BERNARD",55,FALSE,TRUE,"ekonom, hejtman Plzeňského kraje 2016-2020",539741,"Štěnovický Borek",166,1475,"STAROSTOVÉ (STAN) S JOSEFEM BERNARDEM A PODPOROU ZELENÝCH, PRO PLZEŇ A IDEALISTŮ","STAN,ZELENÍ,PRO PLZEŇ","STAN+Z+PROPLZEŇ","005,166,1014",4123,15.93,"A",1,0
6,20,8,"Ing.","MICHAEL","CANOV","","Ing. MICHAEL CANOV",59,FALSE,TRUE,"senátor Parlamentu ČR, starosta Chrastavy",564117,"Chrastava",703,703,"STAROSTOVÉ PRO LIBERECKÝ KRAJ","STAROSTOVÉ PRO LIBERECKÝ KRAJ","SLK","703",3997,7.46,"A",2,0
9,45,1,"MUDr.","JIŘÍ","BĚHOUNEK","","MUDr. JIŘÍ BĚHOUNEK",68,FALSE,TRUE,"lékař, hejtman",547492,"Pelhřimov",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",3898,20.6,"A",1,0
5,16,3,"","JAROSLAV","FOLDYNA","","JAROSLAV FOLDYNA",60,FALSE,FALSE,"poslanec",562335,"Děčín",1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE (SPD)","SVOBODA A PŘ. DEMOKRACIE (SPD)","SPD","1114",3753,20.99,"A",1,0
12,45,1,"MUDr.","OLGA","SEHNALOVÁ","MBA","MUDr. OLGA SEHNALOVÁ MBA",51,TRUE,TRUE,"lékařka, zastupitelka města Kroměříže",588296,"Kroměříž",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",3606,22.2,"A",1,0
10,44,7,"Mgr.","MICHAL","DOLEŽEL","","Mgr. MICHAL DOLEŽEL",34,FALSE,TRUE,"člen Sokola, zastupitel Jihomoravského kraje",3,"Brno",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",3595,14.95,"A",1,0
2,45,1,"Mgr.","IVANA","STRÁSKÁ","","Mgr. IVANA STRÁSKÁ",68,TRUE,TRUE,"hejtmanka Jihočeského kraje",549576,"Milevsko",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",3569,20.51,"A",1,0
8,17,1,"Ing.","ROMAN","LÍNEK","MBA","Ing. ROMAN LÍNEK MBA",56,FALSE,TRUE,"1. náměstek hejtmana Pardubického kraje",6,"Pardubice",1,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",3561,15.98,"A",1,0
3,74,16,"Mgr.","MARTIN","BAXA","","Mgr. MARTIN BAXA",45,FALSE,TRUE,"primátor města Plzně, poslanec PS PČR, učitel",2,"Plzeň",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",3373,9.14,"A",1,0
9,46,31,"RNDr.","MILOŠ","VYSTRČIL","","RNDr. MILOŠ VYSTRČIL",60,FALSE,TRUE,"předseda Senátu Parlamentu České republiky",588024,"Telč",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",3277,15.57,"A",1,0
9,12,1,"MUDr.","VÍT","KAŇKOVSKÝ","","MUDr. VÍT KAŇKOVSKÝ",50,FALSE,TRUE,"ortoped, poslanec",588032,"Třešť",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",3265,17.11,"A",1,0
13,12,1,"Mgr. et Mgr.","LUKÁŠ","CURYLO","","Mgr. et Mgr. LUKÁŠ CURYLO",46,FALSE,TRUE,"1.náměstek hejtmana MS kraje, ředitel Charity",4,"Ostrava",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",3195,10.58,"A",1,0
4,50,2,"Mgr.","JANA","MRAČKOVÁ VILDUMETZOVÁ","","Mgr. JANA MRAČKOVÁ VILDUMETZOVÁ",47,TRUE,TRUE,"poslankyně Parlamentu České republiky",554961,"Karlovy Vary",768,768,"ANO 2011","ANO 2011","ANO","768",3194,16.14,"A",1,0
7,4,1,"PhDr.","JIŘÍ","ŠTĚPÁN","Ph.D.","PhDr. JIŘÍ ŠTĚPÁN Ph.D.",41,FALSE,TRUE,"hejtman kraje, vysokoškolský pedagog",569810,"Hradec Králové",7,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",3167,20.13,"A",1,0
13,29,1,"Ing.","JAKUB","UNUCKA","MBA","Ing. JAKUB UNUCKA MBA",51,FALSE,TRUE,"náměstek hejtmana",599549,"Klimkovice",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09","KOALICE ODS A TOP 09","ODS+TOP 09","053,721",3149,7.21,"A",1,0
2,33,13,"RNDr.","JAN","ZAHRADNÍK","","RNDr. JAN ZAHRADNÍK",71,FALSE,TRUE,"poslanec Parlamentu ČR",544256,"České Budějovice",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",3033,8.7,"A",2,0
3,74,1,"doc. PaedDr.","ILONA","MAURITZOVÁ","Ph.D.","doc. PaedDr. ILONA MAURITZOVÁ Ph.D.",60,TRUE,TRUE,"poslankyně PS PČR, emeritní rektorka ZČU v Plzni",2,"Plzeň",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",3023,8.19,"A",2,0
2,53,1,"Mgr.","FRANTIŠEK","TALÍŘ","","Mgr. FRANTIŠEK TALÍŘ",27,FALSE,TRUE,"historik a moderátor",545872,"Zubčice",1,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",2972,14.28,"A",1,0
5,33,1,"PaedDr.","JIŘÍ","KULHÁNEK","","PaedDr. JIŘÍ KULHÁNEK",58,FALSE,TRUE,"starosta města Kadaň",563102,"Kadaň",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",2962,11.97,"A",1,0
8,50,1,"Ing.","MARTIN","KOLOVRATNÍK","","Ing. MARTIN KOLOVRATNÍK",45,FALSE,TRUE,"poslanec Parlamentu České republiky",555134,"Pardubice",768,768,"ANO 2011","ANO 2011","ANO","768",2936,9.01,"A",1,0
10,44,2,"Ing.","JANA","DRÁPALOVÁ","","Ing. JANA DRÁPALOVÁ",57,TRUE,TRUE,"starostka MČ Brno-Nový Lískovec",3,"Brno",5,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",2860,11.89,"A",2,0
12,50,1,"Ing.","RADIM","HOLIŠ","","Ing. RADIM HOLIŠ",45,FALSE,TRUE,"starosta města Rožnov pod Radhoštěm",544841,"Rožnov pod Radhoštěm",768,768,"ANO 2011","ANO 2011","ANO","768",2857,7.79,"A",1,0
10,51,4,"Mgr. Ing.","DRAGO","SUKALOVSKÝ","","Mgr. Ing. DRAGO SUKALOVSKÝ",58,FALSE,TRUE,"starosta Kuřimi, krajský zastupitel",583251,"Kuřim",166,1457,"STAROSTOVÉ PRO JIŽNÍ MORAVU","STAROSTOVÉ PRO JIŽNÍ MORAVU","STAN+SOL","166,1031",2837,7.51,"A",1,0
7,32,1,"MVDr.","PAVEL","BĚLOBRÁDEK","Ph.D., MPA","MVDr. PAVEL BĚLOBRÁDEK Ph.D., MPA",43,FALSE,TRUE,"poslanec PČR",573868,"Náchod",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",2798,18.98,"A",1,0
12,45,10,"MVDr.","STANISLAV","MIŠÁK","","MVDr. STANISLAV MIŠÁK",67,FALSE,TRUE,"starosta Otrokovic v letech 1994 - 2006",585599,"Otrokovice",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",2792,17.19,"A",2,0
7,73,3,"JUDr. Ing.","RUDOLF","COGAN","Ph.D.","JUDr. Ing. RUDOLF COGAN Ph.D.",49,FALSE,TRUE,"právník a ekonom, radní kraje pro finance a IT",573248,"Nová Paka",166,1454,"OBČANSKÁ DEMOKRATICKÁ STRANA + STAROSTOVÉ A NEZÁVISLÍ A VÝCHODOČEŠI","KOALICE ODS, STAN, VČ","ODS+STAN+VČ","053,166,770",2625,6.29,"A",2,0
12,7,1,"Mgr.","PETR","GAZDÍK","","Mgr. PETR GAZDÍK",46,FALSE,TRUE,"učitel, poslanec",592641,"Suchá Loz",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",2619,10.73,"A",1,0
13,12,7,"Mgr.","MONIKA","BRZESKOVÁ","","Mgr. MONIKA BRZESKOVÁ",43,TRUE,TRUE,"starostka města Kravaře",507580,"Kravaře",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",2617,8.66,"A",2,0
10,51,1,"Mgr.","FRANTIŠEK","LUKL","MPA","Mgr. FRANTIŠEK LUKL MPA",42,FALSE,TRUE,"starosta Kyjova, předseda Svazu měst a obcí ČR",586307,"Kyjov",166,1457,"STAROSTOVÉ PRO JIŽNÍ MORAVU","STAROSTOVÉ PRO JIŽNÍ MORAVU","STAN+SOL","166,1031",2598,6.88,"A",2,0
5,7,7,"Ing.","ZBYNĚK","LINHART","","Ing. ZBYNĚK LINHART",51,FALSE,TRUE,"senátor za obvod Děčín, místostarosta města",562611,"Krásná Lípa",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",2581,11.55,"A",1,0
7,73,8,"Mgr.","IVAN","ADAMEC","","Mgr. IVAN ADAMEC",60,FALSE,TRUE,"poslanec PS PČR, starosta města Trutnov",579025,"Trutnov",53,1454,"OBČANSKÁ DEMOKRATICKÁ STRANA + STAROSTOVÉ A NEZÁVISLÍ A VÝCHODOČEŠI","KOALICE ODS, STAN, VČ","ODS+STAN+VČ","053,166,770",2497,5.99,"A",3,0
11,64,5,"Mgr.","IVO","SLAVOTÍNEK","","Mgr. IVO SLAVOTÍNEK",44,FALSE,TRUE,"místostarosta města, krajský zastupitel",505609,"Velká Bystřice",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",2453,7.1,"A",2,0
3,50,1,"Mgr.","ROMAN","ZARZYCKÝ","","Mgr. ROMAN ZARZYCKÝ",43,FALSE,TRUE,"1. náměstek primátora města Plzně",2,"Plzeň",768,768,"ANO 2011","ANO 2011","ANO","768",2436,6.23,"A",1,0
13,12,2,"Bc.","JIŘÍ","NAVRÁTIL","MBA","Bc. JIŘÍ NAVRÁTIL MBA",43,FALSE,TRUE,"náměst.hejtmana MS kraje,místostarosta obce Mořkov",599689,"Mořkov",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",2402,7.95,"A",3,0
10,44,1,"Ing.","JAN","VITULA","","Ing. JAN VITULA",51,FALSE,TRUE,"starosta Židlochovic, náměstek hejtmana JMK",584282,"Židlochovice",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",2394,9.95,"A",3,0
13,29,3,"Mgr.","STANISLAV","FOLWARCZNY","","Mgr. STANISLAV FOLWARCZNY",57,FALSE,TRUE,"náměstek hejtmana",598933,"Český Těšín",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09","KOALICE ODS A TOP 09","ODS+TOP 09","053,721",2310,5.29,"A",2,0
13,19,1,"Mgr.","ZUZANA","KLUSOVÁ","","Mgr. ZUZANA KLUSOVÁ",35,TRUE,TRUE,"mediál.konzult.a čl.ved.spolku S.O.S. Karviná,z.s.",598917,"Karviná",720,720,"ČESKÁ PIRÁTSKÁ STRANA","ČESKÁ PIRÁTSKÁ STRANA","PIRÁTI","720",2284,6.1,"A",1,0
11,64,16,"RNDr. Mgr.","FRANTIŠEK","JOHN","Ph.D.","RNDr. Mgr. FRANTIŠEK JOHN Ph.D.",42,FALSE,TRUE,"starosta města, krajský zastupitel",541354,"Zábřeh",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",2277,6.59,"A",3,0
3,74,4,"MUDr.","RICHARD","PIKNER","Ph.D.","MUDr. RICHARD PIKNER Ph.D.",48,FALSE,TRUE,"primář klatovské nemocnice, VŠ učitel LF UK a ZČU",557846,"Chválenice",721,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",2265,6.13,"A",3,0
8,17,4,"Ing.","PAVEL","ŠOTOLA","","Ing. PAVEL ŠOTOLA",49,FALSE,TRUE,"člen Rady Pard. kraje, zastupitel města Hlinska",571393,"Hlinsko",1,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",2246,10.08,"A",2,0
12,12,2,"","JOSEF","BAZALA","","JOSEF BAZALA",60,FALSE,FALSE,"starosta města",550752,"Staré Město",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",2231,6.23,"A",2,0
3,74,2,"Mgr.","RUDOLF","SALVETR","","Mgr. RUDOLF SALVETR",56,FALSE,TRUE,"starosta města Klatovy, předseda SMO Plzeň. kraje",555771,"Klatovy",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",2188,5.93,"A",4,0
6,50,1,"Ing.","JITKA","VOLFOVÁ","","Ing. JITKA VOLFOVÁ",51,TRUE,TRUE,"starostka města Č. Lípa, st. náměstkyně hejtmana",561380,"Česká Lípa",768,768,"ANO 2011","ANO 2011","ANO","768",2161,8.71,"A",1,0
13,45,1,"Ing.","PETR","KAJNAR","","Ing. PETR KAJNAR",64,FALSE,TRUE,"bývalý primátor města Ostrava, OSVČ",598143,"Frýdlant nad Ostravicí",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",2113,9.63,"A",1,0
11,21,7,"Ing.","RADIM","SRŠEŇ","Ph.D.","Ing. RADIM SRŠEŇ Ph.D.",40,FALSE,TRUE,"vysokoškolský učitel, starosta, krajský zastupitel",553379,"Dolní Studénky",166,1350,"PIRÁTI A STAROSTOVÉ","PIRÁTI A STAROSTOVÉ","PIRÁTI A STAN","166,720",2060,5.63,"A",1,0
