"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR"
9,46,1,"Mgr.","VÍTĚZSLAV","SCHREK","","Mgr. VÍTĚZSLAV SCHREK",50,FALSE,TRUE,"ředitel domova pro seniory",586846,"Jihlava",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",1994,9.47,"A",2,0
13,12,9,"Ing.","JIŘÍ","CARBOL","","Ing. JIŘÍ CARBOL",61,FALSE,TRUE,"starosta obce Dobrá, senátor",598089,"Dobrá",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1979,6.55,"A",4,0
4,50,1,"Mgr.","PETR","KUBIS","","Mgr. PETR KUBIS",51,FALSE,TRUE,"hejtman Karlovarského kraje",560286,"Sokolov",768,768,"ANO 2011","ANO 2011","ANO","768",1975,9.98,"A",2,0
3,74,8,"PhDr.","MAREK","ŽENÍŠEK","Ph.D.","PhDr. MAREK ŽENÍŠEK Ph.D.",41,FALSE,TRUE,"výkonný ředitel think-tanku TOPAZ, politolog",2,"Plzeň",721,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",1957,5.3,"A",5,0
13,12,8,"Ing.","BOHUSLAV","NIEMIEC","","Ing. BOHUSLAV NIEMIEC",38,FALSE,TRUE,"nám.primátora stat.m. Havířova, středoškol.učitel",555088,"Havířov",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1929,6.38,"A",5,0
8,30,5,"","PETR","FIALA","","PETR FIALA",51,FALSE,FALSE,"starosta města Letohrad, předs. Sdruž.obcí Orlicko",580538,"Letohrad",1228,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",1874,7.63,"A",2,0
8,30,14,"Mgr.","RADKO","MARTÍNEK","","Mgr. RADKO MARTÍNEK",64,FALSE,TRUE,"býv. hejtman Pard.kraje a senátor, středošk. prof.",578444,"Moravská Třebová",7,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",1837,7.48,"A",3,0
5,42,3,"Mgr.","JAN","PAPAREGA","","Mgr. JAN PAPAREGA",39,FALSE,TRUE,"primátor Statutárního města Most",567027,"Most",1175,1478,"LEPŠÍ SEVER","KOALICE UFO, PROMOST","UFO+PROMOST","1012,1175",1821,15.23,"A",1,0
2,53,4,"Ing.","JAN","BARTOŠEK","","Ing. JAN BARTOŠEK",48,FALSE,TRUE,"poslanec",546127,"Dačice",1,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",1800,8.65,"A",2,0
11,64,13,"RNDr.","JITKA","SEITLOVÁ","","RNDr. JITKA SEITLOVÁ",66,TRUE,TRUE,"senátorka PČR, krajská zastupitelka",514705,"Lipník nad Bečvou",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",1792,5.19,"A",4,0
3,58,2,"Ing.","PAVEL","ČÍŽEK","","Ing. PAVEL ČÍŽEK",56,FALSE,TRUE,"náměstek hejtmana pro obl. dopr., místostar. města",558362,"Spálené Poříčí",166,1475,"STAROSTOVÉ (STAN) S JOSEFEM BERNARDEM A PODPOROU ZELENÝCH, PRO PLZEŇ A IDEALISTŮ","STAN,ZELENÍ,PRO PLZEŇ","STAN+Z+PROPLZEŇ","005,166,1014",1753,6.77,"A",2,0
1,48,2,"JUDr.","PAVEL","TELIČKA","","JUDr. PAVEL TELIČKA",55,FALSE,TRUE,"předseda hnutí HLAS, podnikatel",533378,"Jevany",1220,1470,"SPOJENCI PRO STŘEDOČESKÝ KRAJ - TOP 09, HLAS, ZELENÍ","SPOJENCI - TOP09, HLAS, ZELENÍ","TOP+HLAS+ZELENÍ","005,721,1220",1747,7.08,"A",1,0
5,77,1,"Mgr.","JIŘÍ","ŘEHÁK","","Mgr. JIŘÍ ŘEHÁK",52,FALSE,TRUE,"středoškolský učitel, regionální historik",567442,"Teplice",1126,1456,"SPOJENCI PRO KRAJ","JSMEPRO,LES,SNKED,ZELENÍ,TOP09","JP+LES+ED+Z+TOP","005,129,721,795,1126",1737,14.21,"A",1,0
12,45,5,"MUDr.","RICHARD","KREML","","MUDr. RICHARD KREML",49,FALSE,TRUE,"lékař - ortoped, zastupitel města Kroměříže",588296,"Kroměříž",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1719,10.58,"A",3,0
10,45,25,"prof. MUDr.","JAN","ŽALOUDÍK","CSc.","prof. MUDr. JAN ŽALOUDÍK CSc.",66,FALSE,TRUE,"lékař",593125,"Ježkovice",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1705,8.28,"A",1,0
4,62,3,"Mgr.","ANTONÍN","JALOVEC","","Mgr. ANTONÍN JALOVEC",48,FALSE,TRUE,"starosta Chebu",554481,"Cheb",166,659,"STAN - STAROSTOVÉ A NEZÁVISLÍ SPOLEČNĚ S KOA, VPM CHEB A TOP 09","KOALICE STAN, TOP 09","TOP+STAN","166,721",1656,14.15,"A",1,0
8,11,1,"","MICHAL","KORTYŠ","","MICHAL KORTYŠ",58,FALSE,FALSE,"senátor a náměstek hejtmana Pardubického kraje",578347,"Litomyšl",53,687,"ODS A TOP 09","ODS A TOP 09","ODS+TOP 09","053,721",1620,6.91,"A",1,0
9,27,1,"Ing.","LUKÁŠ","VLČEK","","Ing. LUKÁŠ VLČEK",38,FALSE,TRUE,"starosta města, kraj. zastupitel, před. mikroreg.",548511,"Pacov",166,1152,"STAROSTOVÉ PRO VYSOČINU","STAROSTOVÉ PRO VYSOČINU","STAN+SNK ED","129,166",1619,9.33,"A",1,0
5,7,2,"MUDr.","ALENA","DERNEROVÁ","","MUDr. ALENA DERNEROVÁ",62,TRUE,TRUE,"dětská lékařka a senátorka za obvod Most",567027,"Most",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",1588,7.1,"A",2,0
13,63,1,"JUDr.","JOSEF","BABKA","","JUDr. JOSEF BABKA",64,FALSE,TRUE,"právník, předseda Krajského výboru KSČM",4,"Ostrava",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",1583,8.52,"A",1,0
1,48,1,"","JAN","JAKOB","","JAN JAKOB",37,FALSE,FALSE,"starosta Roztok, místopředseda TOP 09",539627,"Roztoky",721,1470,"SPOJENCI PRO STŘEDOČESKÝ KRAJ - TOP 09, HLAS, ZELENÍ","SPOJENCI - TOP09, HLAS, ZELENÍ","TOP+HLAS+ZELENÍ","005,721,1220",1540,6.24,"A",2,0
7,4,25,"","JAN","BIRKE","","JAN BIRKE",51,FALSE,FALSE,"starosta Náchoda, poslanec Parlamentu ČR",573868,"Náchod",7,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",1538,9.77,"A",2,0
13,45,2,"Ing.","JAN","WOLF","","Ing. JAN WOLF",52,FALSE,TRUE,"primátor města Karviná",598917,"Karviná",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1493,6.8,"A",2,0
10,44,3,"Mgr.","TOMÁŠ","TŘETINA","","Mgr. TOMÁŠ TŘETINA",48,FALSE,TRUE,"starosta Moravského Krumlova",594482,"Moravský Krumlov",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",1485,6.17,"A",4,0
8,11,4,"PharmDr.","JIŘÍ","SKALICKÝ","Ph.D.","PharmDr. JIŘÍ SKALICKÝ Ph.D.",66,FALSE,TRUE,"primář Pardubické nemocnice, zastupitel města",6,"Pardubice",721,687,"ODS A TOP 09","ODS A TOP 09","ODS+TOP 09","053,721",1472,6.28,"A",2,0
2,53,2,"Mgr.","PAVEL","KLÍMA","","Mgr. PAVEL KLÍMA",49,FALSE,TRUE,"ředitel školy",552666,"Malšice",721,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",1465,7.04,"A",3,0
2,53,5,"Mgr.","ŠIMON","HELLER","","Mgr. ŠIMON HELLER",32,FALSE,TRUE,"učitel na gymnáziu",544256,"České Budějovice",1,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",1450,6.97,"A",4,0
12,7,3,"MUDr.","MIROSLAV","ADÁMEK","","MUDr. MIROSLAV ADÁMEK",57,FALSE,TRUE,"náměstek primátora města Zlín, lékař",585068,"Zlín",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",1442,5.91,"A",2,0
11,16,1,"Ing.","RADIM","FIALA","","Ing. RADIM FIALA",51,FALSE,TRUE,"poslanec PS PČR",589250,"Prostějov",1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE (SPD)","SVOBODA A PŘ. DEMOKRACIE (SPD)","SPD","1114",1435,9.75,"A",1,0
12,6,1,"MUDr.","JAROMÍR","BERNÁTEK","","MUDr. JAROMÍR BERNÁTEK",52,FALSE,TRUE,"lékař, primář, předseda okr.sdružení ČLK Zlín",549401,"Pozlovice",1227,1458,"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ","TRIKOLÓRA, SOUKROMNÍCI, NEZ","TRIKOL+SOUK+NEZ","088,716,1227",1410,12.25,"A",1,0
11,33,1,"Mgr.","DALIBOR","HORÁK","","Mgr. DALIBOR HORÁK",55,FALSE,TRUE,"náměstek hejtmana Olomouckého kraje",505587,"Uničov",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",1408,7.24,"A",1,0
12,19,1,"Bc.","HANA","ANČINCOVÁ","","Bc. HANA ANČINCOVÁ",31,TRUE,TRUE,"finanční analytička, členka Kontrol. výboru města",588296,"Kroměříž",720,720,"ČESKÁ PIRÁTSKÁ STRANA","ČESKÁ PIRÁTSKÁ STRANA","PIRÁTI","720",1406,5.51,"A",1,0
8,17,2,"Mgr. Bc.","DAVID","ŠIMEK","MBA","Mgr. Bc. DAVID ŠIMEK MBA",43,FALSE,TRUE,"starosta města Svitavy, krajský zastupitel",577731,"Svitavy",181,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1406,6.31,"A",3,0
12,45,7,"PaedDr.","ALENA","GAJDŮŠKOVÁ","","PaedDr. ALENA GAJDŮŠKOVÁ",66,TRUE,TRUE,"poslankyně, viceprezidentka Svazu pacientů ČR",500011,"Želechovice nad Dřevnicí",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1395,8.59,"A",4,0
8,30,2,"","MIROSLAV","KRČIL","DiS.","MIROSLAV KRČIL DiS.",45,FALSE,TRUE,"starosta města Hlinsko",571393,"Hlinsko",1228,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",1393,5.67,"A",4,0
10,45,1,"Mgr.","MAREK","ŠLAPAL","","Mgr. MAREK ŠLAPAL",44,FALSE,TRUE,"náměstek hejtmana, pedagog",3,"Brno",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1378,6.69,"A",2,0
10,45,2,"Bc.","ROMAN","HANÁK","","Bc. ROMAN HANÁK",36,FALSE,TRUE,"náměstek hejtmana, starosta obce Kobeřice u Brna",593141,"Kobeřice u Brna",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1358,6.59,"A",3,0
7,47,6,"MUDr.","ZDENĚK","FINK","","MUDr. ZDENĚK FINK",65,FALSE,TRUE,"lékař",569810,"Hradec Králové",1049,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",1340,9.64,"A",1,0
5,7,14,"","PAVEL","SVOBODA","","PAVEL SVOBODA",45,FALSE,FALSE,"starosta obce Lipová - Vesnice roku 2019, předseda",562661,"Lipová",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",1333,5.96,"A",3,0
10,45,18,"JUDr.","MICHAL","HAŠEK","","JUDr. MICHAL HAŠEK",44,FALSE,TRUE,"právník, emeritní hejtman JMK",3,"Brno",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1327,6.44,"A",4,0
2,80,3,"Ing.","JIŘÍ","FIŠER","","Ing. JIŘÍ FIŠER",67,FALSE,TRUE,"projektant - vodohospodář, býv. starosta Tábora",552046,"Tábor",766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12","766",1321,10.15,"A",1,0
2,19,1,"MUDr.","LUKÁŠ","MAREŠ","","MUDr. LUKÁŠ MAREŠ",31,FALSE,TRUE,"lékař na radiologickém oddělení, zastupitel",544256,"České Budějovice",720,720,"ČESKÁ PIRÁTSKÁ STRANA","ČESKÁ PIRÁTSKÁ STRANA","PIRÁTI","720",1318,5.15,"A",1,0
4,50,4,"","JOSEF","VÁŇA","","JOSEF VÁŇA",67,FALSE,FALSE,"žokej, krajský radní pro sport",555207,"Chyše",768,768,"ANO 2011","ANO 2011","ANO","768",1316,6.65,"A",3,0
8,17,3,"","RENÉ","ŽIVNÝ","","RENÉ ŽIVNÝ",46,FALSE,FALSE,"člen Rady Pard. kraje, předseda TJ Sokol Semín",6,"Pardubice",129,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1316,5.9,"A",4,0
1,48,3,"Ing.","JANA","KRUMPHOLCOVÁ","MSc.","Ing. JANA KRUMPHOLCOVÁ MSc.",40,TRUE,TRUE,"krajinná inženýrka, pedagožka, mpř. stř. Zelených",535419,"Mladá Boleslav",5,1470,"SPOJENCI PRO STŘEDOČESKÝ KRAJ - TOP 09, HLAS, ZELENÍ","SPOJENCI - TOP09, HLAS, ZELENÍ","TOP+HLAS+ZELENÍ","005,721,1220",1282,5.2,"A",3,0
8,17,10,"Mgr.","PETR","ŘEZNÍČEK","","Mgr. PETR ŘEZNÍČEK",69,FALSE,TRUE,"bývalý starosta města Chrudim, krajský zastupitel",571164,"Chrudim",129,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1282,5.75,"A",5,0
10,44,33,"Mgr.","BARBORA","ANTONOVÁ","","Mgr. BARBORA ANTONOVÁ",52,TRUE,TRUE,"učitelka, překladatelka",3,"Brno",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",1256,5.22,"A",5,0
5,7,4,"","YVETA","TOMKOVÁ","","YVETA TOMKOVÁ",46,TRUE,FALSE,"starostka městského obv. Ústí nad Labem-Neštěmice",554804,"Ústí nad Labem",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",1233,5.51,"A",4,0
7,47,2,"Mgr. et Mgr.","PAVLÍNA","SPRINGEROVÁ","Ph.D.","Mgr. et Mgr. PAVLÍNA SPRINGEROVÁ Ph.D.",43,TRUE,TRUE,"prorektorka Univerzity Hradec Králové",569810,"Hradec Králové",1049,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",1231,8.86,"A",2,0
5,63,3,"","JAROSLAV","KOMÍNEK","","JAROSLAV KOMÍNEK",45,FALSE,FALSE,"náměstek hejtmana Ústeckého kraje",562971,"Chomutov",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",1226,9.79,"A",1,0
4,62,1,"Ing.","PETR","KULHÁNEK","","Ing. PETR KULHÁNEK",49,FALSE,TRUE,"personalista, krajský zastupitel",554961,"Karlovy Vary",166,659,"STAN - STAROSTOVÉ A NEZÁVISLÍ SPOLEČNĚ S KOA, VPM CHEB A TOP 09","KOALICE STAN, TOP 09","TOP+STAN","166,721",1223,10.45,"A",2,0
8,17,8,"","RADOMIL","KAŠPAR","","RADOMIL KAŠPAR",55,FALSE,FALSE,"místostarosta města Litomyšl, krajský zastupitel",578347,"Litomyšl",1,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1210,5.43,"A",6,0
6,33,1,"Ing.","DAN","RAMZER","","Ing. DAN RAMZER",51,FALSE,TRUE,"starosta města Frýdlant, zastupitel Liber. kraje",564028,"Frýdlant",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",1196,10.02,"A",1,0
7,32,5,"prof. MUDr.","JAN","ČÁP","CSc.","prof. MUDr. JAN ČÁP CSc.",67,FALSE,TRUE,"lékař, vysokoškolský učitel",569810,"Hradec Králové",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",1193,8.09,"A",2,0
2,53,8,"PhDr. Mgr.","ROBERT","HUNEŠ","","PhDr. Mgr. ROBERT HUNEŠ",51,FALSE,TRUE,"ředitel hospice",551953,"Vodňany",1,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",1161,5.58,"A",5,0
13,45,3,"RNDr.","MICHAL","POBUCKÝ","DiS.","RNDr. MICHAL POBUCKÝ DiS.",38,FALSE,TRUE,"primátor města Frýdek-Místek",598003,"Frýdek-Místek",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1149,5.24,"A",3,0
7,32,10,"Ing.","ANNA","MACLOVÁ","","Ing. ANNA MACLOVÁ",60,TRUE,TRUE,"ekonomka, ředitelka Diecézní katolické charity HK",569810,"Hradec Králové",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",1149,7.79,"A",3,0
11,33,4,"","MICHAL","ZÁCHA","DiS.","MICHAL ZÁCHA DiS.",42,FALSE,TRUE,"náměstek primátora města Přerova",511382,"Přerov",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",1144,5.89,"A",2,0
9,46,12,"Mgr.","EVA","DECROIX","MBA","Mgr. EVA DECROIX MBA",38,FALSE,TRUE,"advokátka, zapsaná mediátorka, podnikatelka",586846,"Jihlava",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",1143,5.43,"A",3,0
9,45,2,"Ing.","VLADIMÍR","NOVOTNÝ","","Ing. VLADIMÍR NOVOTNÝ",54,FALSE,TRUE,"náměstek hejtmana",595209,"Žďár nad Sázavou",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1133,5.98,"A",2,0
